Date,Custom Multi-Asset Index,SPY
2023-08-11,240.80904349523476,433.4257011266997
2023-08-14,240.61377160151648,435.81816509779185
2023-08-15,238.5098177775473,430.74142291176366
2023-08-16,237.13620010497118,427.5805743275264
2023-08-17,236.61060655795146,424.32249540613
2023-08-18,237.22116957770797,424.5266606293092
2023-08-21,237.755684590832,427.28879089177417
2023-08-22,237.70463938045202,426.1313925057177
2023-08-23,239.55691815302566,430.87756386864146
2023-08-24,238.49843470696132,424.9060622776346
2023-08-25,239.74546759233868,427.9015022179531
2023-08-28,240.35075299464265,430.6149556956552
2023-08-29,242.58729333512647,436.83945333506233
2023-08-30,243.22183060578433,438.63867669388065
2023-08-31,243.2993435095185,437.996759296844
2023-09-01,244.44760349353447,438.81372827047704
2023-09-05,243.82340578706314,436.91718215022473
2023-09-06,243.1035857132953,433.98006192734664
2023-09-07,242.7796903563613,432.64764277278533
2023-09-08,243.09063975094668,433.29926471868293
2023-09-11,244.25873047524487,436.1489515775377
2023-09-12,243.6829015164977,433.756364374079
2023-09-13,243.84680545107375,434.2620175818714
2023-09-14,245.26151771264554,438.00643303761325
2023-09-15,244.6247321380861,432.7292225994005
2023-09-18,245.12070793288513,432.9830504662744
2023-09-19,244.93786521157506,432.0851178278586
2023-09-20,243.57516119870047,428.112784110297
2023-09-21,241.38825362692765,421.036750818457
2023-09-22,241.5286505079741,420.0900489710035
2023-09-25,241.07021393613576,421.85661575270245
2023-09-26,239.1517011488323,415.659044385373
2023-09-27,238.64196143117394,415.82491515066613
2023-09-28,238.6111398397063,418.23561751199856
2023-09-29,236.749658292087,417.22055250923586
2023-10-02,235.28904753014848,417.05471255203446
2023-10-03,233.6643567522135,411.471978269206
2023-10-04,232.04296047487657,414.4682500279984
2023-10-05,231.4203075033118,414.31214542774956
2023-10-06,233.02503478636027,419.2312118008562
2023-10-09,236.57405334388457,421.91518193487605
2023-10-10,236.6583955806648,424.1111210895113
2023-10-11,237.10427859539297,425.848450992261
2023-10-12,236.34879016898003,423.25228391936395
2023-10-13,240.57178030435443,421.14411701775987
2023-10-16,240.76722213809057,425.57518321957355
2023-10-17,241.1391573379349,425.5556508894852
2023-10-18,241.94313198076776,419.88502112125906
2023-10-19,243.06114345384907,416.1957829576123
2023-10-20,241.6788386680517,411.0815473240802
2023-10-23,240.7542483445435,410.3690793972291
2023-10-24,240.48276814576468,413.4630128064633
2023-10-25,240.25383865583342,407.5289430467772
2023-10-26,238.74530508123954,402.6489105257557
2023-10-27,240.37463334548067,400.82380836997487
2023-10-30,239.59863744770135,405.6159454055988
2023-10-31,239.37222946629012,408.1633124613665
2023-11-01,240.1019954812316,412.5162801509184
2023-11-02,242.7494574751298,420.4219137339565
2023-11-03,243.35814738843698,424.25755194899114
2023-11-06,243.2413264822315,425.2335830996687
2023-11-07,241.4018201602177,426.4437865547654
2023-11-08,239.7627713445123,426.7561497957212
2023-11-09,239.25783128374513,423.4279516577931
2023-11-10,240.03237604774372,430.0354863003368
2023-11-13,241.5667109523272,429.62558464130564
2023-11-14,243.7150235405897,437.9605597891883
2023-11-15,243.13910871896903,438.88782173082825
2023-11-16,242.20969135580637,439.424591111159
2023-11-17,243.46398569231394,439.9711574646255
2023-11-20,244.97267512297128,443.35792178472707
2023-11-21,246.1478636781148,442.3916567990937
2023-11-22,245.40846345991872,444.09962659052746
2023-11-24,245.3430337631278,444.37292517130646
2023-11-27,245.20202116564914,443.5726541833326
2023-11-28,247.36601141300483,444.01182352940464
2023-11-29,248.01044331414644,443.6995219046321
2023-11-30,246.59768508947488,445.44652554815104
2023-12-01,248.7273209329643,448.0817880893165
2023-12-04,248.33868025576345,445.72965191015754
2023-12-05,247.03744327372118,445.6417872328515
2023-12-06,244.456628569198,443.84592195602
2023-12-07,245.4550808635784,447.2326862761216
2023-12-08,246.02738613849797,449.1553576580693
2023-12-11,246.28662212329488,450.9023304934967
2023-12-12,245.35899956146346,452.96175899415465
2023-12-13,250.56110843409968,459.2081611867049
2023-12-14,254.62811878037888,460.681927865628
2023-12-15,253.4402685186369,459.9233710337103
2023-12-18,254.33020187558785,462.51048052767044
2023-12-19,256.1362886576279,465.3229204037541
2023-12-20,252.9271652979928,458.8748792515376
2023-12-21,254.62596853187836,463.22590603131727
2023-12-22,254.97437412284629,464.15680332776867
2023-12-26,256.8042199656733,466.11672169248754
2023-12-27,256.99429188705864,466.959569463083
2023-12-28,256.9062226573224,467.1358841714359
2023-12-29,255.17943823465438,465.78356298968686
2024-01-02,254.74035735170787,463.17685954945506
2024-01-03,253.1050526878443,459.39424206010193
2024-01-04,252.22085453913382,457.9145294194957
2024-01-05,252.54296868509977,458.5416589325538
2024-01-08,253.73269571723674,465.0877930484949
2024-01-09,253.65682979074546,464.3822261341671
2024-01-10,253.65463129767699,467.00855432876216
2024-01-11,253.45339779069178,466.80275627672694
2024-01-12,254.32700944785816,467.12605639020853
2024-01-16,252.6624849907392,465.41115477815976
2024-01-17,250.53919372255078,462.82416851656603
2024-01-18,251.36443494592547,466.93991390062826
2024-01-19,253.25927309142708,472.76082553978665
2024-01-22,254.28821238724097,473.7603632643719
2024-01-23,254.41501423287193,475.14216778980324
2024-01-24,254.02252489858407,475.6615614064591
2024-01-25,256.2147815849259,478.24860928423607
2024-01-26,256.2450704536702,477.6410737174496
2024-01-29,256.7668296046899,481.4236603987111
2024-01-30,256.4724309885479,481.05134461145883
